n_estimators,max_depth,min_samples_split,accuracy,precision,recall,f1,roc_auc,fold_mean_accuracy,fold_std_accuracy,fold_min_accuracy,fold_max_accuracy,vs_baseline
300,10.0,2,0.5496688741721855,0.5631067961165048,0.7160493827160493,0.6304347826086957,0.5342151675485008,0.5501075268817204,0.08291319689559275,0.4666666666666667,0.7,0.013245033112582849
200,5.0,5,0.5496688741721855,0.5631067961165048,0.7160493827160493,0.6304347826086957,0.5178130511463845,0.5496774193548387,0.06146701563333221,0.4666666666666667,0.6333333333333333,0.013245033112582849
100,5.0,5,0.5496688741721855,0.5643564356435643,0.7037037037037037,0.6263736263736264,0.510758377425044,0.5496774193548386,0.014921074201033679,0.5333333333333333,0.5666666666666667,0.013245033112582849
200,10.0,10,0.543046357615894,0.5612244897959183,0.6790123456790124,0.6145251396648045,0.5388007054673721,0.5434408602150538,0.07415021330667787,0.43333333333333335,0.6333333333333333,0.0066225165562914245
300,5.0,2,0.543046357615894,0.5588235294117647,0.7037037037037037,0.6229508196721312,0.5292768959435626,0.5434408602150538,0.060995707682164405,0.4838709677419355,0.6333333333333333,0.0066225165562914245
300,5.0,5,0.543046357615894,0.5576923076923077,0.7160493827160493,0.6270270270270271,0.5121693121693122,0.5432258064516129,0.04672856506382404,0.4666666666666667,0.6,0.0066225165562914245
100,10.0,10,0.5298013245033113,0.5520833333333334,0.654320987654321,0.5988700564971752,0.5343915343915344,0.5301075268817204,0.0451049315515688,0.4666666666666667,0.5666666666666667,-0.0066225165562913135
100,8.0,2,0.5298013245033113,0.5531914893617021,0.6419753086419753,0.5942857142857143,0.5292768959435625,0.5303225806451612,0.05157435836707845,0.45161290322580644,0.6,-0.0066225165562913135
100,5.0,10,0.5298013245033113,0.5520833333333334,0.654320987654321,0.5988700564971752,0.519753086419753,0.5303225806451612,0.059571833359942206,0.45161290322580644,0.6333333333333333,-0.0066225165562913135
300,5.0,10,0.5231788079470199,0.5454545454545454,0.6666666666666666,0.6,0.5194003527336861,0.5232258064516129,0.044238393906571666,0.4666666666666667,0.6,-0.013245033112582738
